"";"Électromyographie par électrode de surface, sans enregistrement vidéo";"Non pris en charge"
"";"Résection ou ligature de la veine testiculaire, par abord direct";"167,20"
"";"anesthésie";"101,83"
"";"Résection ou ligature de la veine testiculaire par abord direct, avec embolisation intraveineuse";"209,63"
"";"anesthésie";"115,66"
"";"Ligature du plexus pampiniforme ou de la veine testiculaire, par abord scrotal";"167,20"
"";"anesthésie";"86,43"
"";"Interruption des veines de drainage du pénis, par abord direct";"167,20"
"";"anesthésie";"87,17"
"";"Embolisation sélective ou hypersélective de la veine testiculaire ou ovarique, par voie veineuse transcutanée";"209,00"
"";"anesthésie";"94,05"
"";"Embolisation suprasélective de la veine testiculaire ou ovarique, par voie veineuse transcutanée";"209,00"
"";"anesthésie";"94,05"
"";"Embolisation des veines de drainage du pénis, par injection intraveineuse transcutanée";"209,00"
"";"anesthésie";"94,05"
"";"Dilatation intraluminale de la veine rénale sans pose d'endoprothèse, par voie veineuse transcutanée";"355,30"
"";"Dilatation intraluminale de la veine rénale avec pose d'endoprothèse, par voie veineuse transcutanée";"355,30"
"";"Fibrinolyse in situ de la veine rénale, par voie veineuse transcutanée";"209,00"
"";"anesthésie";"94,05"
"";"Thromboaspiration de la veine rénale, par voie veineuse transcutanée";"209,00"
"";"anesthésie";"94,05"
"";"Résection d'un paquet hémorroïdaire isolé";"62,70"
"";"Hémorroïdectomie pédiculaire par résection sousmuqueuse";"154,10"
"";"anesthésie";"66,35"
"";"Hémorroïdectomie pédiculaire par résection sousmuqueuse avec anoplastie muqueuse postérieure et sphinctérotomie [léiomyotomie] interne";"192,90"
"";"anesthésie";"86,40"
"";"Hémorroïdectomie pédiculaire semifermée ou fermée";"188,10"
"";"anesthésie";"96,59"
"";"Séance d'injection sclérosante des hémorroïdes";"18,21"
"";"Séance de ligature élastique des hémorroïdes";"23,95"
"";"Séance de traitement instrumental des hémorroïdes par procédé physique";"52,42"
"";"Évacuation d'une thrombose hémorroïdaire externe";"62,70"
"";"Excision d'une thrombose hémorroïdaire";"62,70"
"";"Réduction de procidence hémorroïdaire interne par agrafage circulaire, par voie anale";"157,55"
"";"anesthésie";"76,16"
"";"Suture de plaie de la veine porte et/ou de l'une de ses branches principales, par laparotomie";"363,42"
"";"anesthésie";"324,69"
"";"Dilatation intraluminale de la veine porte ou d'une anastomose portocave sans pose d'endoprothèse, par voie veineuse transcutanée";"355,30"
"";"Dilatation intraluminale de la veine porte ou d'une anastomose portocave avec pose d'endoprothèse, par voie veineuse transcutanée";"355,30"
"";"Dilatation intraluminale de veine hépatique [veine sushépatique] sans pose d'endoprothèse, par voie veineuse transcutanée";"355,30"
"";"Dilatation intraluminale d'une endoprothèse vasculaire intrahépatique pour court-circuit [shunt] vasculaire portosystémique, par voie veineuse transcutanée";"355,30"
"";"Recalibrage d'une anastomose portocave, par laparotomie";"522,50"
"";"anesthésie";"311,00"
"";"Fibrinolyse in situ de la veine porte et/ou de ses affluents ou d'un court-circuit [shunt] vasculaire portosystémique, par voie veineuse transcutanée";"209,00"
"";"anesthésie";"94,05"
"";"Recanalisation d'un court-circuit [shunt] vasculaire portosystémique, par voie veineuse transcutanée";"209,00"
"";"anesthésie";"94,05"
"";"Thrombectomie de la veine porte et/ou de l'un de ses affluents principaux, par laparotomie";"534,25"
"";"anesthésie";"308,83"
"";"Création d'un court-circuit [shunt] portosystémique intrahépatique par pose d'endoprothèse, par voie veineuse transcutanée";"522,50"
"";"anesthésie";"188,10"
"";"Anastomose portocave tronculaire ou portorénale, par laparotomie";"692,76"
"";"anesthésie";"468,95"
"";"Anastomose mésentéricocave inférieure, par laparotomie";"755,68"
"";"anesthésie";"526,50"
"";"Anastomose mésentérico-ilio-cave, par laparotomie";"741,70"
"";"anesthésie";"422,03"
"";"Anastomose veineuse splénorénale centrale avec splénectomie, par laparotomie";"813,55"
"";"anesthésie";"522,73"
"";"Anastomose veineuse splénorénale distale sélective sans déconnexion portosystémique, par laparotomie";"791,46"
"";"anesthésie";"499,37"
"";"Anastomose veineuse splénorénale distale sélective avec déconnexion portosystémique, par laparotomie";"904,54"
"";"anesthésie";"585,15"
"";"Anastomose entre une branche du système porte autre que la veine splénique ou la veine mésentérique supérieure et le système cave inférieur, par laparotomie";"829,70"
"";"anesthésie";"504,51"
"";"Anastomose entre une branche du système porte et le système cave supérieur, par abord direct";"841,62"
"";"anesthésie";"560,59"
"";"Pontage veineux mésentéricoatrial, par thoracotomie et par laparotomie";"807,91"
"";"anesthésie";"546,66"
"";"Tamponnement de varices œsogastriques par sonde à ballonnet";"37,02"
"";"Embolisation de varices œsogastriques ou des branches intrahépatiques de la veine porte, par voie veineuse transcutanée ou transpariétohépatique";"209,00"
"";"anesthésie";"94,05"
"";"Séance de sclérose et/ou de ligature de varices œsogastriques en dehors de la période hémorragique, par endoscopie";"116,33"
"";"anesthésie";"70,72"
"";"Sclérose et/ou ligature de varices œsogastriques en période hémorragique, par endoscopie";"132,78"
"";"anesthésie";"77,74"
"";"Pose d'un système diffuseur implantable souscutané avec cathéter relié à une branche de la veine porte, par laparotomie";"397,10"
"";"anesthésie";"177,78"
"";"Pose d'un cathéter veineux central, par voie transcutanée";"60,85"
"";"Pose d'un cathéter dans la veine jugulaire interne, par cervicotomie";"104,50"
"";"Pose d'un cathéter veineux ombilical";""
"";"Pose d'un cathéter épicutanéocave, par voie transcutanée";""
"";"Pose d'une voie d'abord vasculaire intraosseuse ou dans le sinus veineux sagittal [longitudinal] supérieur";""
"";"Pose d'un cathéter relié à une veine profonde du membre supérieur ou du cou par voie transcutanée, avec pose d'un système diffuseur implantable souscutané";"125,40"
"";"Désobstruction de site implantable ou de voie veineuse centrale tunnellisée par agent thrombolytique";"19,20"
"";"Ablation d'un système diffuseur implanté et du cathéter relié à une veine profonde du membre supérieur ou du cou";"59,50"
"";"Suture de plaie de veine superficielle des membres ou du cou, par abord direct";"64,02"
"";"Évacuation de thrombus veineux d'un membre, par voie transcutanée";"13,38"
"";"Thrombectomie de veine superficielle des membres ou du cou, par abord direct";"18,83"
"";"Exérèse de malformation veineuse cutanée et/ou souscutanée, sans reconstruction";"57,17"
"";"Exérèse de malformation veineuse musculaire ou osseuse, sans reconstruction";"328,31"
"";"anesthésie";"118,03"
"";"Exérèse d'une malformation veineuse étendue, avec reconstruction tissulaire par greffe ou lambeau";"482,32"
"";"anesthésie";"131,96"
"";"Ligature de veine superficielle des membres ou du cou, par abord direct";"83,60"
"";"Prélèvement de greffe veineuse des membres, sur un sujet en état de mort encéphalique";""
"";"anesthésie";""
"";"Séance de sclérose de varicosités et télangiectasies des veines, par injection intraveineuse transcutanée";"Non pris en charge"
"";"Occlusion d'une fistule artérioveineuse directe cervicale ou crânienne, par voie vasculaire transcutanée";"522,50"
"";"anesthésie";"229,90"
"";"Occlusion d'une malformation vasculaire cervicale et/ou faciale, par injection transcutanée intralésionnelle de colle avec guidage radiologique";"104,50"
"";"Sclérose d'une malformation vasculaire cervicale et/ou faciale, par injection transcutanée intralésionnelle d'agent pharmacologique avec guidage radiologique";"104,50"
"";"Exérèse d'une malformation vasculaire de la région parotidienne avec dissection du nerf facial, par abord direct";"500,24"
"";"anesthésie";"207,28"
"";"Exérèse de malformation artérioveineuse cérébrale superficielle supratentorielle d'un diamètre inférieur ou égal à 30 mm, par craniotomie";"704,80"
"";"anesthésie";"431,60"
"";"Exérèse de malformation artérioveineuse cérébrale superficielle supratentorielle d'un diamètre supérieur à 30 mm, par craniotomie";"924,17"
"";"anesthésie";"512,83"
"";"Exérèse de malformation artérioveineuse cérébrale profonde supratentorielle, par craniotomie";"930,75"
"";"anesthésie";"520,16"
"";"Exérèse de malformation artérioveineuse encéphalique infratentorielle, par craniotomie";"860,02"
"";"anesthésie";"558,29"
"";"Exérèse d'une tumeur du glomus [corpuscule] tympanojugulaire par abord transpétreux, sans déroutement du nerf facial";"850,82"
"";"anesthésie";"332,99"
"";"Exérèse d'une tumeur du glomus [corpuscule] tympanojugulaire par abord transpétreux, avec déroutement du nerf facial";"919,66"
"";"anesthésie";"412,35"
"";"Exérèse d'une tumeur du glomus [corpuscule] tympanojugulaire étendue à la fosse postérieure, par craniotomie";"1243,56"
"";"anesthésie";"699,78"
"";"Exérèse d'une tumeur du glomus [corpuscule] tympanojugulaire étendue aux structures cervicales, par craniocervicotomie";"713,71"
"";"anesthésie";"289,73"
"";"Embolisation d'une fistule artérioveineuse durale cranioencéphalique unipédiculaire, par voie artérielle ou veineuse transcutanée";"522,50"
"";"anesthésie";"229,90"
"";"Embolisation d'une fistule artérioveineuse durale cranioencéphalique unipédiculaire, par voie artérielle et par voie veineuse transcutanées";"522,50"
"";"anesthésie";"230,94"
"";"Embolisation d'une fistule artérioveineuse durale cranioencéphalique multipédiculaire, par voie artérielle ou veineuse transcutanée";"522,50"
"";"anesthésie";"230,94"
"";"Embolisation d'une fistule artérioveineuse durale cranioencéphalique multipédiculaire, par voie artérielle et par voie veineuse transcutanées";"522,50"
"";"anesthésie";"230,94"
"";"Occlusion intraluminale d'un vaisseau intracrânien afférent à une tumeur, par voie vasculaire transcutanée";"522,50"
"";"anesthésie";"229,90"
"";"Occlusion intraluminale de plusieurs vaisseaux intracrâniens afférents à une tumeur, par voie vasculaire transcutanée";"522,50"
"";"anesthésie";"229,90"
"";"Occlusion intraluminale d'un vaisseau intracrânien, par voie vasculaire transcutanée";"522,50"
"";"anesthésie";"229,90"
"";"Ligature de vaisseau intracrânien supratentoriel, par craniotomie";"313,50"
"";"anesthésie";"328,33"
"";"Ligature de vaisseau intracrânien infratentoriel, par craniotomie";"313,50"
"";"anesthésie";"328,33"
"";"Exclusion de fistule artérioveineuse durale de la convexité, par craniotomie";"418,00"
"";"anesthésie";"267,74"
"";"Exclusion de fistule artérioveineuse d'un sinus veineux dural [fistule ostéodurale], par craniotomie";"502,48"
"";"anesthésie";"305,86"
"";"Exclusion de fistule artérioveineuse de la faux du cerveau ou de la tente du cervelet, par craniotomie";"588,43"
"";"anesthésie";"373,67"
"";"Fermeture de fistule artérioveineuse traumatique du membre supérieur sans reconstruction vasculaire, par abord direct";"189,07"
"";"anesthésie";"70,75"
"";"Fermeture de fistule artérioveineuse traumatique du membre supérieur avec reconstruction de l'axe artériel, par abord direct";"459,98"
"";"anesthésie";"175,10"
"";"Fermeture de fistule ou exclusion d'anévrisme artérioveineux pulmonaire, par thoracotomie sans CEC";"592,43"
"";"anesthésie";"384,67"
"";"Suture de plaie d'artère pulmonaire ou de veine pulmonaire, par thoracotomie sans CEC";"609,29"
"";"anesthésie";"397,50"
"";"Embolisation de fistule artérioveineuse intrathoracique, par voie artérielle transcutanée";"355,30"
"";"anesthésie";"94,05"
"";"Embolisation sélective ou hypersélective d'artère à destination bronchique ou pleuropulmonaire, par voie artérielle transcutanée";"355,30"
"";"anesthésie";"94,05"
"";"Embolisation suprasélective d'artère à destination bronchique ou pleuropulmonaire, par voie artérielle transcutanée";"355,30"
"";"anesthésie";"94,05"
"";"Exérèse de tumeur des vaisseaux pulmonaires, par thoracotomie sans CEC";"702,52"
"";"anesthésie";"419,46"
"";"Sclérose d'une malformation vasculaire ou d'une lésion vertébrale, par injection transcutanée intralésionnelle d'agent pharmacologique avec guidage radiologique";"104,50"
"";"Embolisation d'une malformation vasculaire ou d'une lésion vertébrale, par voie vasculaire transcutanée";"104,50"
"";"anesthésie";"94,30"
"";"Embolisation de malformation artérioveineuse intraparenchymateuse de la moelle épinière, par voie vasculaire transcutanée";"522,50"
"";"anesthésie";"229,90"
"";"Exérèse de malformation artérioveineuse intraparenchymateuse de la moelle épinière, par abord direct";"836,00"
"";"anesthésie";"447,32"
"";"Embolisation de malformation artérioveineuse durale spinale, par voie vasculaire transcutanée";"522,50"
"";"anesthésie";"229,90"
"";"Exclusion de malformation artérioveineuse durale rachidienne, par abord direct";"374,70"
"";"anesthésie";"250,23"
"";"Ligature ou section du pédicule testiculaire [spermatique] pour cryptorchidie, par cœlioscopie";"197,88"
"";"anesthésie";"129,50"
"";"Ligature ou section du pédicule testiculaire [spermatique] pour cryptorchidie, par laparotomie";"185,37"
"";"anesthésie";"115,02"
"";"Fermeture d'une fistule artérioveineuse traumatique du membre inférieur sans reconstruction vasculaire, par abord direct";"216,62"
"";"anesthésie";"71,48"
"";"Fermeture d'une fistule artérioveineuse traumatique du membre inférieur avec reconstruction vasculaire, par abord direct";"444,77"
"";"anesthésie";"175,10"
"";"Pose d'un cathéter veineux central tunnellisé à double courant pour circulation extracorporelle, par abord direct";"120,23"
