"A"	"ALIMENTARY TRACT AND METABOLISM"	"VOIES DIGESTIVES ET METABOLISME"
"C08EA"	"PHENYLALKYLAMINE DERIVATIVES"	"DERIVES DE LA PHENYLALKYLAMINE"
"C08EA01"	"FENDILINE"	"FENDILINE"
"C08EA02"	"BEPRIDIL"	"BEPRIDIL"
"C08EX"	"OTHER NON-SELECTIVE CALCIUM CHANNEL BLOCKERS"	"AUTRES INHIBITEURS CALCIQUES NON SELECTIFS"
"C08EX01"	"LIDOFLAZINE"	"LIDOFLAZINE"
"C08EX02"	"PERHEXILINE"	"PERHEXILINE"
"C08G"	"CALCIUM CHANNEL BLOCKERS AND DIURETICS"	"INHIBITEURS CALCIQUES ET DIURETIQUES"
"C08GA"	"CALCIUM CHANNEL BLOCKERS AND DIURETICS"	"INHIBITEURS CALCIQUES ET DIURETIQUES"
"C08GA01"	"NIFEDIPINE AND DIURETICS"	"NIFEDIPINE ET DIURETIQUES"
"C09"	"AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM"	"MEDICAMENTS AGISSANT SUR LE SYSTEME RENINE-ANGIOTENSINE"
"C09A"	"ACE INHIBITORS, PLAIN"	"INHIBITEURS DE L'ENZYME DE CONVERSION (IEC) NON ASSOCIES"
"C09AA"	"ACE INHIBITORS, PLAIN"	"INHIBITEUR DE L'ENZYME DE CONVERSION (IEC) NON ASSOCIE"
"C09AA01"	"CAPTOPRIL"	"CAPTOPRIL"
"C09AA02"	"ENALAPRIL"	"ENALAPRIL"
"C09AA03"	"LISINOPRIL"	"LISINOPRIL"
"C09AA04"	"PERINDOPRIL"	"PERINDOPRIL"
"C09AA05"	"RAMIPRIL"	"RAMIPRIL"
"C09AA06"	"QUINAPRIL"	"QUINAPRIL"
"C09AA07"	"BENAZEPRIL"	"BENAZEPRIL"
"C09AA08"	"CILAZAPRIL"	"CILAZAPRIL"
"C09AA09"	"FOSINOPRIL"	"FOSINOPRIL"
"C09AA10"	"TRANDOLAPRIL"	"TRANDOLAPRIL"
"C09AA11"	"SPIRAPRIL"	"SPIRAPRIL"
"C09AA12"	"DELAPRIL"	"DELAPRIL"
"C09AA13"	"MOEXIPRIL"	"MOEXIPRIL"
"C09AA14"	"TEMOCAPRIL"	"TEMOCAPRIL"
"C09AA15"	"ZOFENOPRIL"	"ZOFENOPRIL"
"C09AA16"	"IMIDAPRIL"	"IMIDAPRIL"
"C09B"	"ACE INHIBITORS, COMBINATIONS"	"INHIBITEURS DE L'ENZYME DE CONVERSION (IEC) EN ASSOCIATION"
"C09BA"	"ACE INHIBITORS AND DIURETICS"	"INHIBITEURS DE L'ENZYME DE CONVERSION (IEC) ET DIURETIQUES"
"C09BA01"	"CAPTOPRIL AND DIURETICS"	"CAPTOPRIL ET DIURETIQUES"
"C09BA02"	"ENALAPRIL AND DIURETICS"	"ENALAPRIL ET DIURETIQUES"
"C09BA03"	"LISINOPRIL AND DIURETICS"	"LISINOPRIL ET DIURETIQUES"
"C09BA04"	"PERINDOPRIL AND DIURETICS"	"PERINDOPRIL ET DIURETIQUES"
"C09BA05"	"RAMIPRIL AND DIURETICS"	"RAMIPRIL ET DIURETIQUES"
"C09BA06"	"QUINAPRIL AND DIURETICS"	"QUINAPRIL ET DIURETIQUES"
"C09BA07"	"BENAZEPRIL AND DIURETICS"	"BENAZEPRIL ET DIURETIQUES"
"C09BA08"	"CILAZAPRIL AND DIURETICS"	"CILAZAPRIL ET DIURETIQUES"
"C09BA09"	"FOSINOPRIL AND DIURETICS"	"FOSINOPRIL ET DIURETIQUES"
"C09BA12"	"DELAPRIL AND DIURETICS"	"DELAPRIL ET DIURETIQUES"
"C09BA13"	"MOEXIPRIL AND DIURETICS"	"MOEXIPRIL ET DIURETIQUES"
"C09BB"	"ACE INHIBITORS AND CALCIUM CHANNEL BLOCKERS"	"INHIBITEURS DE L'ENZYME DE CONVERSION (IEC) ET INHIBITEURS CALCIQUES"
"C09BB05"	"RAMIPRIL AND CALCIUM CHANNEL BLOCKERS"	"RAMIPRIL ET INHIBITEURS CALCIQUES"
"C09BB10"	"TRANDOLAPRIL AND CALCIUM CHANNEL BLOCKERS"	"TRANDOLAPRIL ET INHIBITEURS CALCIQUES"
"C09BB12"	"DELAPRIL AND CALCIUM CHANNEL BLOCKERS"	"DELAPRIL ET INHIBITEURS CALCIQUES"
"C09C"	"ANGIOTENSIN II ANTAGONISTS, PLAIN"	"ANTAGONISTES DE L'ANGIOTENSINE II"
"C09CA"	"ANGIOTENSIN II ANTAGONISTS, PLAIN"	"ANTAGONISTES DE L'ANGIOTENSINE II NON ASSOCIES"
"C09CA01"	"LOSARTAN"	"LOSARTAN"
"C09CA02"	"EPROSARTAN"	"EPROSARTAN"
"C09CA03"	"VALSARTAN"	"VALSARTAN"
"C09CA04"	"IRBESARTAN"	"IRBESARTAN"
"C09CA05"	"TASOSARTAN"	"TOSARTAN"
"C09CA06"	"CANDESARTAN"	"CANDESARTAN"
"C09CA07"	"TELMISARTAN"	"TELMISARTAN"
"C09CA08"	"OLMESARTAN MEDOXOMIL"	"OLMESARTAN MEDOXOMIL"
"C09D"	"ANGIOTENSIN II ANTAGONISTS, COMBINATIONS"	"ANTAGONISTES DE L'ANGIOTENSINE II EN ASSOCIATION"
"C09DA"	"ANGIOTENSIN II ANTAGONISTS AND DIURETICS"	"ANTAGONISTES DE L'ANGIOTENSINE ET DIURETIQUES"
"C09DA01"	"LOSARTAN AND DIURETICS"	"LOSARTAN ET DIURETIQUE"
"C09DA02"	"EPROSARTAN AND DIURETICS"	"EPROSARTAN ET DIURETIQUE"
"C09DA03"	"VALSARTAN AND DIURETICS"	"VALSARTAN ET DIURETIQUES"
"C09DA04"	"IRBESARTAN AND DIURETICS"	"IRBESARTAN ET DIURETIQUES"
"C09DA06"	"CANDESARTAN AND DIURETICS"	"CANDESARTAN ET DIURETIQUES"
"C09DA07"	"TELMISARTAN AND DIURETICS"	"TELMISARTAN ET DIURETIQUES"
"C09E"	"VASOPEPTIDASES INHIBITORS, PLAIN"	"INHIBITEURS DES VASOPEPTIDASES SEULS"
"C09EA"	"VASOPEPTIDASES INHIBITOR, PLAIN"	"INHIBITEURS DE VASOPEPTIDASE NON ASSOCIES"
"C09EA01"	"OMAPATRILAT"	"OMAPATRILAT"
"C09X"	"OTHER AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM"	"AUTRES MEDICAMENTS AGISSANT SUR LE SYSTEME RENINE-ANGIOTENSINE"
"C09XA"	"RENIN-INHIBITORS"	"INHIBITEURS DE LA RENINE"
"C09XA01"	"REMIKIREN"	"REMIKEREN"
"C10"	"SERUM LIPID REDUCING AGENTS"	"HYPOLIPIDEMIANTS"
"C10A"	"CHOLESTEROL AND TRIGLYCERIDE REDUCERS"	"HYPOCHOLESTEROLEMIANTS ET HYPOTRIGLYCERIDEMIANTS"
"C10AA"	"HMG COA REDUCTASE INHIBITORS"	"INHIBITEURS DE L'HMG-COA REDUCTASE"
"C10AA01"	"SIMVASTATIN"	"SIMVASTATINE"
"C10AA02"	"LOVASTATIN"	"LOVASTATINE"
"C10AA03"	"PRAVASTATIN"	"PRAVASTATINE"
"C10AA04"	"FLUVASTATIN"	"FLUVASTATINE"
"C10AA05"	"ATORVASTATIN"	"ATORVASTATINE"
"C10AA06"	"CERIVASTATIN"	"CERIVASTATINE"
"C10AA07"	"ROSUVASTATIN"	"ROSUVASTATINE"
"C10AA51"	"SIMVASTATIN, COMBINATION PACKAGES"	"SIMVASTATINE EN ASSOCIATION"
"C10AA52"	"LOVASTATIN, COMBINATIONS"	"LOVASTATINE EN ASSOCIATION"
"C10AB"	"FIBRATES"	"FIBRATES"
"C10AB01"	"CLOFIBRATE"	"CLOFIBRATE"
"C10AB02"	"BEZAFIBRATE"	"BEZAFIBRATE"
"C10AB03"	"ALUMINIUM CLOFIBRATE"	"CLOFIBRATE ALUMINIUM"
"C10AB04"	"GEMFIBROZIL"	"GEMFIBROZIL"
"C10AB05"	"FENOFIBRATE"	"FENOFIBRATE"
"C10AB06"	"SIMFIBRATE"	"SIMFIBRATE"
"C10AB07"	"RONIFIBRATE"	"RONIFIBRATE"
"C10AB08"	"CIPROFIBRATE"	"CIPROFIBRATE"
"C10AB09"	"ETOFIBRATE"	"ETOFIBRATE"
"C10AB10"	"CLOFIBRIDE"	"CLOFIBRIDE"
"C10AC"	"BILE ACID SEQUESTRANTS"	"SEQUESTRANTS D'ACIDES BILIAIRES"
"C10AC01"	"COLESTYRAMINE"	"COLESTYRAMINE"
"C10AC02"	"COLESTIPOL"	"COLESTIPOL"
"C10AC03"	"DETAXTRAN"	"DETAXTRAN"
"C10AC04"	"COLESEVELAM"	"COLESEVELAM"
"C10AD"	"NICOTINIC ACID AND DERIVATIVES"	"ACIDE NICOTINIQUE ET DERIVES"
"C10AD01"	"NICERITROL"	"NICERITROL"
"C10AD02"	"NICOTINIC ACID"	"NICOTINIQUE ACIDE"
"C10AD03"	"NICOFURANOSE"	"NICOFURANOSE"
"C10AD04"	"ALUMINIUM NICOTINATE"	"ALUMINIUM NICOTINATE"
"C10AD05"	"NICOTINYL ALCOHOL (PYRIDYLCARBINOL)"	"NICOTINIQUE ALCOOL (PYRIDYLCARBINOL)"
"C10AD06"	"ACIPIMOX"	"ACIPIMOX"
"C10AX"	"OTHER CHOLESTEROL AND TRIGLYCERIDE REDUCERS"	"AUTRES HYPOCHOLESTEROLEMIANTS ET HYPOTRIGLYCERIDEMIANTS"
"C10AX01"	"DEXTROTHYROXINE"	"DEXTROTHYROXINE"
"C10AX02"	"PROBUCOL"	"PROBUCOL"
"C10AX03"	"TIADENOL"	"TIADENOL"
"C10AX04"	"BENFLUOREX"	"BENFLUOREX"
"C10AX05"	"MEGLUTOL"	"MEGLUTOL"
"C10AX06"	"OMEGA-3-TRIGLYCERIDES"	"TRIGLYCERIDES OMEGA 3"
"C10AX07"	"MAGNESIUM PYRIDOXAL 5-PHOSPHATE GLUTAMATE"	"PYRIDOXAL 5-PHOSPHATE GLUTAMATE DE MAGNESIUM"
"C10AX08"	"POLICOSANOL"	"POLICOSANOL"
"C10AX09"	"EZETIMIBE"	"EZETIMIBE"
"D"	"DERMATOLOGICALS"	"MEDICAMENTS DERMATOLOGIQUES"
"D01"	"ANTIFUNGALS FOR DERMATOLOGICAL USE"	"ANTIFONGIQUES A USAGE DERMATOLOGIQUE"
"D01A"	"ANTIFUNGALS FOR TOPICAL USE"	"ANTIFONGIQUES A USAGE TOPIQUE"
"D01AA"	"ANTIBIOTICS"	"ANTIBIOTIQUES"
"D01AA01"	"NYSTATIN"	"NYSTATINE"
"D01AA02"	"NATAMYCIN"	"NATAMYCINE"
"D01AA03"	"HACHIMYCIN"	"HACHIMYCINE"
"D01AA04"	"PECILOCIN"	"PECILOCINE"
"D01AA06"	"MEPARTRICIN"	"MEPARTRICINE"
"D01AA07"	"PYRROLNITRIN"	"PYRROLNITRINE"
"D01AA08"	"GRISEOFULVIN"	"GRISEOFULVINE"
"D01AA20"	"COMBINATIONS"	"ASSOCIATIONS"
"D01AC"	"IMIDAZOLE AND TRIAZOLE DERIVATIVES"	"DERIVES IMIDAZOLES ET TRIAZOLES"
"D01AC01"	"CLOTRIMAZOLE"	"CLOTRIMAZOLE"
"D01AC02"	"MICONAZOLE"	"MICONAZOLE"
"D01AC03"	"ECONAZOLE"	"ECONAZOLE"
"D01AC04"	"CLOMIDAZOLE"	"CLOMIDAZOLE"
"D01AC05"	"ISOCONAZOLE"	"ISOCONAZOLE"
"D01AC06"	"TIABENDAZOLE"	"TIABENDAZOLE"
"D01AC07"	"TIOCONAZOLE"	"TIOCONAZOLE"
"D01AC08"	"KETOCONAZOLE"	"KETOCONAZOLE"
"D01AC09"	"SULCONAZOLE"	"SULCONAZOLE"
"D01AC10"	"BIFONAZOLE"	"BIFONAZOLE"
"D01AC11"	"OXICONAZOLE"	"OXICONAZOLE"
"D01AC12"	"FENTICONAZOLE"	"FENTICONAZOLE"
"D01AC13"	"OMOCONAZOLE"	"OMOCONAZOLE"
"D01AC14"	"SERTACONAZOLE"	"SERTACONAZOLE"
"D01AC15"	"FLUCONAZOLE"	"FLUCONAZOLE"
"D01AC16"	"FLUTRIMAZOLE"	"FLUTRIMAZOLE"
"D01AC20"	"COMBINATIONS"	"ASSOCIATIONS"
"D01AC52"	"MICONAZOLE, COMBINATIONS"	"MICONAZOLE EN ASSOCIATION"
"D01AC60"	"BIFONAZOLE, COMBINATIONS"	"BIFONAZOLE EN ASSOCIATION"
"D01AE"	"OTHER ANTIFUNGALS FOR TOPICAL USE"	"AUTRES ANTIFONGIQUES A USAGE TOPIQUE"
"D01AE01"	"BROMOCHLOROSALICYLANILIDE"	"BROMOCHLOROSALICYLANILIDE"
"D01AE02"	"METHYLROSANILINE"	"METHYLROSANILINE"
"D01AE03"	"TRIBROMOMETACRESOL"	"TRIBROMOMETACRESOL"
"D01AE04"	"UNDECYLENIC ACID"	"UNDECYLENIQUE ACIDE"
"D01AE05"	"POLYNOXYLIN"	"POLYNOXYLINE"
"D01AE06"	"2-(4-CHLORPHENOXY)-ETHANOL"	"2-(4-CHLORPHENOXY)-ETHANOL"
"D01AE07"	"CHLORPHENESIN"	"CHLORPHENESINE"
"D01AE08"	"TICLATONE"	"TICLATONE"
"D01AE09"	"SULBENTINE"	"SULBENTINE"
"D01AE10"	"ETHYL HYDROXYBENZOATE"	"ETHYL HYDROXYBENZOATE"
"D01AE11"	"HALOPROGIN"	"HALOPROGINE"
"D01AE12"	"SALICYLIC ACID"	"SALICYLIQUE ACIDE"
"D01AE13"	"SELENIUM SULFIDE"	"SELENIUM SULFITE"
"D01AE14"	"CICLOPIROX"	"CICLOPIROX"
"D01AE15"	"TERBINAFINE"	"TERBINAFINE"
"D01AE16"	"AMOROLFINE"	"AMOROLFINE"
"D01AE17"	"DIMAZOLE"	"DIMAZOLE"
"D01AE18"	"TOLNAFTATE"	"TOLNAFTATE"
"D01AE19"	"TOLCICLATE"	"TOCICLATE"
"D01AE20"	"COMBINATIONS"	"ASSOCIATIONS"
"D01AE21"	"FLUCYTOSINE"	"FLUCYTOSINE"
"D01AE22"	"NAFTIFINE"	"NAFTIFINE"
"D01AE23"	"BUTENAFINE"	"BUTENAFINE"
"D01AE54"	"UNDECYLENIC ACID, COMBINATIONS"	"ACIDE UNDECYLENIQUE EN ASSOCIATION"
"D01B"	"ANTIFUNGALS FOR SYSTEMIC USE"	"ANTIFONGIQUES A USAGE SYSTEMIQUE"
"D01BA"	"ANTIFUNGALS FOR SYSTEMIC USE"	"ANTIFONGIQUE A USAGE SYSTEMIQUE"
"D01BA01"	"GRISEOFULVIN"	"GRISEOFULVINE"
"D01BA02"	"TERBINAFINE"	"TERBINAFINE"
"D02"	"EMOLLIENTS AND PROTECTIVES"	"EMOLLIENTS ET PROTECTEURS"
"D02A"	"EMOLLIENTS AND PROTECTIVES"	"EMOLLIENT ET PROTECTEUR"
"D02AA"	"SILICONE PRODUCTS"	"MEDICAMENTS A BASE DE SILICONE"
"D02AB"	"ZINC PRODUCTS"	"MEDICAMENTS A BASE DE ZINC"
"D02AC"	"SOFT PARAFFIN AND FAT PRODUCTS"	"PARAFFINE ET PRODUITS GRAS"
"D02AD"	"LIQUID PLASTERS"	"EMPLATRES LIQUIDES"
"D02AE"	"CARBAMIDE PRODUCTS"	"MEDICAMENTS A BASE D'UREE"
"D02AE01"	"CARBAMIDE"	"UREE"
"D02AE51"	"CARBAMIDE, COMBINATIONS"	"UREE EN ASSOCIATION"
"D02AF"	"SALICYLIC ACID PREPARATIONS"	"PREPARATIONS A BASE D'ACIDE SALICYLIQUE"
"D02AX"	"OTHER EMOLLIENTS AND PROTECTIVES"	"AUTRES EMOLLIENTS ET PROTECTEURS"
"D02B"	"PROTECTIVES AGAINST UV-RADIATION"	"PROTECTEURS CONTRE LES RAYONNEMENTS UV"
"D02BA"	"PROTECTIVES AGAINST UV-RADIATION FOR TOPICAL USE"	"PROTECTEURS CONTRE LES RAYONNEMENTS UV A USAGE TOPIQUE"
"D02BA01"	"AMINOBENZOIC ACID"	"ACIDE AMINOBENZOÏQUE"
"D02BA02"	"OCTYL METHOXYCINNAMATE"	"OCTYL METHOXYCINNAMATE"
"D02BB"	"PROTECTIVES AGAINST UV-RADIATION FOR SYSTEMIC USE"	"PROTECTEURS CONTRE LES RAYONNEMENTS UV A USAGE SYSTEMIQUE"
"D02BB01"	"BETACAROTENE"	"BETACAROTENE"
"D03"	"PREPARATIONS FOR TREATMENT OF WOUNDS AND ULCERS"	"PREPARATIONS POUR LE TRAITEMENT DES PLAIES ET ULCERES"
"D03A"	"CICATRIZANTS"	"CICATRISANTS"
"D03AA"	"COD-LIVER OIL OINTMENTS"	"PREPARATIONS A BASE D'HUILE DE FOIE DE MORUE"
"D03AX"	"OTHER CICATRIZANTS"	"AUTRES CICATRISANTS"
"D03AX01"	"CADEXOMER IODINE"	"CADEXOMERE IODURE"
"D03AX02"	"DEXTRANOMER"	"DEXTRANOMERE"
"D03AX03"	"DEXPANTHENOL"	"DEXPANTHENOL"
"D03AX04"	"CALCIUM PANTOTHENATE"	"CALCIUM PANTOTHENATE"
"D03AX05"	"HYALURONIC ACID"	"HYALURONIQUE ACIDE"
"D03AX06"	"BECAPLERMIN"	"BECAPLERMINE"
"D03AX07"	"GLYCERYL TRINITRATE"	"TRINITRATE DE GLYCERYLE"
"D03AX08"	"ISOSORBIDE DINITRATE"	"DINITRATE D'ISOSORBIDE"
"D03AX09"	"CRILANOMER"	"CRILANOMER"
"D03AX10"	"ENOXOLONE"	"ENOXOLONE"
"D03B"	"ENZYMES"	"ENZYMES"
"D03BA"	"PROTEOLYTIC ENZYMES"	"ENZYMES PROTEOLYTIQUES"
"D03BA01"	"TRYPSIN"	"TRYPSINE"
"D03BA02"	"CLOSTRIDIOPEPTIDASE"	"CLOSTRIDIOPEPTIDASE"
"D03BA03"	"COLLAGENASE"	"COLLAGENASE"
"D03BA52"	"CLOSTRIDIOPEPTIDASE, COMBINATIONS"	"CLOSTRIDIOPEPTIDASE EN ASSOCIATION"
"D04"	"ANTIPRURITICS, INCL. ANTIHISTAMINES, ANESTHETICS, ETC."	"ANTIPRURIGINEUX, INCLUANT ANTIHISTAMINIQUES, ANESTHESIQUES, ETC"
"D04A"	"ANTIPRURITICS, INCL. ANTIHISTAMINES, ANESTHETICS, ETC."	"ANTIPRURIGINEUX, INCLUANT ANTIHISTAMINIQUE, ANESTHESIQUE, ETC."
"D04AA"	"ANTIHISTAMINES FOR TOPICAL USE"	"ANTIHISTAMINIQUES A USAGE TOPIQUE"
"D04AA01"	"THONZYLAMINE"	"THONZYLAMINE"
"D04AA02"	"MEPYRAMINE"	"MEPYRAMINE"
"D04AA03"	"THENALIDINE"	"THENALIDINE"
"D04AA04"	"TRIPELENNAMINE"	"TRIPELENNAMINE"
"D04AA09"	"CHLOROPYRAMINE"	"CHLOROPYRAMINE"
"D04AA10"	"PROMETHAZINE"	"PROMETHAZINE"
"D04AA12"	"TOLPROPAMINE"	"TOLPROPAMINE"
"D04AA13"	"DIMETINDENE"	"DIMETINDENE"
"D04AA14"	"CLEMASTINE"	"CLEMASTINE"
"D04AA15"	"BAMIPINE"	"BAMIPINE"
"D04AA22"	"ISOTHIPENDYL"	"ISOTHIPENDYL"
"D04AA32"	"DIPHENHYDRAMINE"	"DIPHENYDRAMINE"
"D04AA33"	"DIPHENHYDRAMINE METHYLBROMIDE"	"DIPHENYDRAMINE METHYLBROMIDE"
"D04AA34"	"CHLORPHENOXAMINE"	"CHLORPHENOXAMINE"
"D04AB"	"ANESTHETICS FOR TOPICAL USE"	"ANESTHESIQUES A USAGE TOPIQUE"
"D04AB01"	"LIDOCAINE"	"LIDOCAÏNE"
"D04AB02"	"CINCHOCAINE"	"CINCHOCAÏNE"
"D04AB03"	"OXYBUPROCAINE"	"OXYBUPROCAÏNE"
"D04AB04"	"BENZOCAINE"	"BENZOCAÏNE"
"D04AB05"	"QUINISOCAINE"	"QUINISOCAÏNE"
"D04AB06"	"TETRACAINE"	"TETRACAÏNE"
"D04AB07"	"PRAMOCAINE"	"PRAMOCAINE"
"D04AX"	"OTHER ANTIPRURITICS"	"AUTRES ANTIPRURIGINEUX"
"D05"	"ANTIPSORIATICS"	"MEDICAMENTS CONTRE LE PSORIASIS"
"D05A"	"ANTIPSORIATICS FOR TOPICAL USE"	"MEDICAMENTS CONTRE LE PSORIASIS A USAGE TOPIQUE"
"D05AA"	"TARS"	"GOUDRONS"
"D05AC"	"ANTRACEN DERIVATIVES"	"DERIVES ANTHRACENIQUES"
"D05AC01"	"DITHRANOL"	"DITHRANOL"
"D05AC51"	"DITHRANOL, COMBINATIONS"	"DITHRANOL EN ASSOCIATION"
"D05AD"	"PSORALENS FOR TOPICAL USE"	"PSORALENES A USAGE TOPIQUE"
"D05AD01"	"TRIOXYSALEN"	"TRIOXYSALENE A USAGE TOPIQUE"
"D05AD02"	"METHOXSALEN"	"METHOXSALENE A USAGE TOPIQUE"
"D05AX"	"OTHER ANTIPSORIATICS FOR TOPICAL USE"	"AUTRES MEDICAMENTS CONTRE LE PSORIASIS A USAGE TOPIQUE"
"D05AX01"	"FUMARIC ACID"	"FUMARIQUE ACIDE"
"D05AX02"	"CALCIPOTRIOL"	"CALCIPOTRIOL"
"D05AX03"	"CALCITRIOL"	"CALCITRIOL"
"D05AX04"	"TACALCITOL"	"TACALCITOL"
"D05AX05"	"TAZAROTENE"	"TAZAROTENE"
"D05AX52"	"CALCIPOTRIOL, COMBINATIONS"	"CALCIPOTRIOL EN ASSOCIATION"
"D05B"	"ANTIPSORIATICS FOR SYSTEMIC USE"	"MEDICAMENTS CONTRE LE PSORIASIS A USAGE SYSTEMIQUE"
"D05BA"	"PSORALENS FOR SYSTEMIC USE"	"PSORALENES A USAGE SYSTEMIQUE"
"D05BA01"	"TRIOXYSALEN"	"TRIOXYSALENE A USAGE SYSTEMIQUE"
"D05BA02"	"METHOXSALEN"	"METHOXSALENE A USAGE SYSTEMIQUE"
"D05BA03"	"BERGAPTEN"	"5-METHOXYPSORALENE"
"D05BB"	"RETINOIDS FOR TREATMENT OF PSORIASIS"	"RETINOIDES POUR LE TRAITEMENT DU PSORIASIS"
"D05BB01"	"ETRETINATE"	"ETRETINATE"
"D05BB02"	"ACITRETIN"	"ACITRETINE"
"D05BX"	"OTHER ANTIPSORIATICS FOR SYSTEMIC USE"	"AUTRES ANTI-PSORIASIQUES A USAGE SYSTEMIQUE"
"D05BX51"	"FUMARIC ACID DERIVATIVES, COMBINATIONS"	"ASSOCIATIONS DE DERIVES DE L'ACIDE FUMARIQUE"
"D06"	"ANTIBIOTICS AND CHEMOTHERAPEUTICS FOR DERMATOLOGICAL USE"	"ANTIBIOTIQUES ET CHIMIOTHERAPIE A USAGE DERMATOLOGIQUE"
"D06A"	"ANTIBIOTICS FOR TOPICAL USE"	"ANTIBIOTIQUES A USAGE TOPIQUE"
"D06AA"	"TETRACYCLINE AND DERIVATIVES"	"TETRACYCLINE ET DERIVES"
"D06AA01"	"DEMECLOCYCLINE"	"DEMECLOCYCLINE"
"D06AA02"	"CHLORTETRACYCLINE"	"CHLORTETRACYCLINE"
"D06AA03"	"OXYTETRACYCLINE"	"OXYTETRACYCLINE"
"D06AA04"	"TETRACYCLINE"	"TETRACYCLINE"
"D06AX"	"OTHER ANTIBIOTICS FOR TOPICAL USE"	"AUTRES ANTIBIOTIQUES A USAGE TOPIQUE"
"D06AX01"	"FUSIDIC ACID"	"FUSIDIQUE ACIDE"
"D06AX02"	"CHLORAMPHENICOL"	"CHLORAMPHENICOL"
"D06AX04"	"NEOMYCIN"	"NEOMYCINE"
"D06AX05"	"BACITRACIN"	"BACITRACINE"
"D06AX07"	"GENTAMICIN"	"GENTAMICINE"
"D06AX08"	"TYROTHRICIN"	"TYROTHRICINE"
"D06AX09"	"MUPIROCIN"	"MUPIROCINE"
"D06AX10"	"VIRGINIAMYCIN"	"VIRGINIAMYCINE"
"D06AX11"	"RIFAXIMIN"	"RIFAXIMINE"
"D06AX12"	"AMIKACIN"	"AMIKACINE"
"D06AX30"	"COMBINATIONS"	"ASSOCIATIONS"
"D06B"	"CHEMOTHERAPEUTICS FOR TOPICAL USE"	"CHIMIOTHERAPIE A USAGE TOPIQUE"
"D06BA"	"SULFONAMIDES"	"SULFAMIDES"
"D06BA01"	"SILVER SULFADIAZINE"	"SULFADIAZINE ARGENTIQUE"
"D06BA02"	"SULFATHIAZOLE"	"SULFATHIAZOLE"
"D06BA03"	"MAFENIDE"	"MAFENIDE"
"D06BA04"	"SULFAMETHIZOLE"	"SULFAMETHIZOLE"
"D06BA51"	"SILVER SULFADIAZINE, COMBINATIONS"	"SULFADIAZINE ARGENTIQUE EN ASSOCIATION"
"D06BB"	"ANTIVIRALS"	"ANTIVIRAUX"
"D06BB01"	"IDOXURIDINE"	"IDOXURIDINE"
"D06BB02"	"TROMANTADINE"	"TROMANTADINE"
"D06BB03"	"ACICLOVIR"	"ACICLOVIR"
"D06BB04"	"PODOPHYLLOTOXIN"	"PODOPHYLLOTOXINE"
"D06BB05"	"INOSINE"	"INOSINE"
"D06BB06"	"PENCICLOVIR"	"PENCICLOVIR"
"D06BB07"	"LYSOZYME"	"LYSOZYME"
"D06BB08"	"IBACITABINE"	"IBACITABINE"
"D06BB09"	"EDOXUDINE"	"EDOXUDINE"
"D06BB10"	"IMIQUIMOD"	"IMIQUIMOD"
"D06BB11"	"DOCOSANOL"	"DOCOSANOL"
"D06BX"	"OTHER CHEMOTHERAPEUTICS"	"AUTRES CHIMIOTHERAPIES"
"D06BX01"	"METRONIDAZOLE"	"METRONIDAZOLE"
"D06C"	"ANTIBIOTICS AND CHEMOTHERAPEUTICS, COMBINATIONS"	"ANTIBIOTIQUES ET CHIMIOTHERAPIE EN ASSOCIATION"
"D07"	"CORTICOSTEROIDS, DERMATOLOGICAL PREPARATIONS"	"CORTICOIDES, PREPARATIONS DERMATOLOGIQUES"
"D07A"	"CORTICOSTEROIDS, PLAIN"	"CORTICOIDES NON ASSOCIES"
"D07AA"	"CORTICOSTEROIDS, WEAK (GROUP I)"	"CORTICOIDES D'ACTIVITE FAIBLE (GROUPE I)"
"D07AA01"	"METHYLPREDNISOLONE"	"METHYLPREDNISOLONE"
"D07AA02"	"HYDROCORTISONE"	"HYDROCORTISONE"
"D07AA03"	"PREDNISOLONE"	"PREDNISOLONE"
"D07AB"	"CORTICOSTEROIDS, MODERATELY POTENT (GROUP II)"	"CORTICOIDES D'ACTIVITE MODEREE (GROUPE II)"
"D07AB01"	"CLOBETASONE"	"CLOBETASONE"
"D07AB02"	"HYDROCORTISONE BUTYRATE"	"HYDROCORTISONE BUTYRATE"
"D07AB03"	"FLUMETASONE"	"FLUMETASONE"
"D07AB04"	"FLUOCORTIN"	"FLUOCORTINE"
"D07AB05"	"FLUPEROLONE"	"FLUPEROLONE"
"D07AB06"	"FLUOROMETHOLONE"	"FLUOROMETHOLONE"
"D07AB07"	"FLUPREDNIDENE"	"FLUPREDNIDENE"
"D07AB08"	"DESONIDE"	"DESONIDE"
"D07AB09"	"TRIAMCINOLONE"	"TRIAMCINOLONE"
"D07AB10"	"ALCLOMETASONE"	"ALCLOMETASONE"
"D07AB11"	"HYDROCORTISONE BUTEPRATE"	"HYDROCORTISONE BUTEPRATE"
"D07AB19"	"DEXAMETHASONE"	"DEXAMETHASONE"
"D07AB21"	"CLOCORTOLONE"	"CLOCORTOLONE"
"D07AB30"	"COMBINATIONS OF CORTICOSTEROIDS"	"ASSOCIATIONS DE CORTICOÏDES"
"D07AC"	"CORTICOSTEROIDS, POTENT (GROUP III)"	"CORTICOIDES D'ACTIVITE FORTE (GROUPE III)"
